#############################################;;;;;;;;;;;;;;x
#Additional Events;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
EVTNAME124114;Final Consolidation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC124114;The administration of our newly gained Italian holdings finally settled and it was decided to redistribute some power to the restless North Italians. We can now call ourselves the heirs of the Roman Empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA124114;An Eagles rises.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME6026814;Beginning of the Regime of Totalitarianism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC6026814;Although there may have been prior authoritarianism, recent centralization of power has lead to complete absolute rule over all aspects of society.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT6026814OPTA;I am the State!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
totalitarian;Totalitarianism;;;;;;;;;;;;;x
EVTNAME6026815;End of Totalitarianism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC6026815;A recent thaw and the rise of more competition in governance has lead to a less absolutist regime.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT6026815OPTA;Atleast there won't be as many political purges.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME776801;Colonial Tech Inheiritance;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC776801;Uncivilized Puppets gain basic industrial techs to further the out-sourcing of resources.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA776801;Isn't this just exploitation of our natural resources?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME776901;Province Selected;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC776901;The province of $PROVINCENAME$ is now for a year temporarily selected as a potentially triggered province in manual decisions.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA776901;Good.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
